date,rate
2021/1/12,6.3
2021/2/12,6.2
2021/3/12,6.1
2021/4/12,6.1
2021/5/12,5.8
2021/6/12,5.9
2021/7/12,5.4
2021/8/12,5.2
2021/9/12,4.8
2021/10/12,4.5
2021/11/12,4.2
2021/12/12,3.9
2022/1/12,4
2022/2/12,3.8
2022/3/12,3.6
2022/4/12,3.6
2022/5/12,3.6
2022/6/12,3.6
2022/7/12,3.5
2022/8/12,3.7
2022/9/12,3.5
2022/10/12,3.7
2022/11/12,3.6
2022/12/12,3.5
2023/1/12,3.4
2023/2/12,3.6
2023/3/12,3.5
2023/4/12,3.4
2023/5/12,3.7
2023/6/12,3.6
2023/7/12,3.5
2023/8/12,3.8
2023/9/12,3.8
2023/10/12,3.9
2023/11/12,3.7
